dateTime,t+1,t+2,t+3,t+4
2024-01-24 10:00:00,2.3094892162361553,2.2545926335273583,2.5607528817005476,2.5256636564496358
2024-01-24 11:00:00,2.246355571688374,2.1975571543613976,2.5099743971496777,2.4805125116677122
2024-01-24 12:00:00,2.2115205587219067,2.1639928526081014,2.4778692779193894,2.448371242269353
2024-01-24 13:00:00,2.1778045269273716,2.1297563878725003,2.4433115984258698,2.4110668430758326
2024-01-24 14:00:00,2.132183626772365,2.0828247048313466,2.3955027523760823,2.359109904041804
2024-01-24 15:00:00,2.0584322214365676,2.0089565914919,2.32174805528463,2.2826442180442057
2024-01-24 16:00:00,2.0084293586458792,1.956999368989515,2.266794356767489,2.223205375910998
2024-01-24 17:00:00,1.9083946553204936,1.860071015518176,2.1712957416329077,2.130419484264891
2024-01-24 18:00:00,1.8075024829226474,1.7634157240407142,2.076983894740402,2.043801730275089
2024-01-24 19:00:00,1.7186679239113194,1.6794899118680917,1.9949772253877118,1.9734240934726295
2024-01-24 20:00:00,1.6728549220850812,1.639189777321708,1.9583178288781415,1.946447713719053
2024-01-24 21:00:00,1.7493469534938906,1.7198716591343661,2.0452924888764334,2.03372507909321
2024-01-24 22:00:00,1.8517745786788609,1.8270360010914393,2.1595843488227247,2.149740389174471
2024-01-24 23:00:00,1.9559641772714282,1.934836985718259,2.2732487138635493,2.2711088950316256
2024-01-25 00:00:00,2.066107911789095,2.0473205958817053,2.389938809486849,2.3992776359857335
2024-01-25 01:00:00,2.1997287823169778,2.180483138377489,2.5236787723908987,2.5407477650063175
2024-01-25 02:00:00,2.3206399760972736,2.297075930380007,2.635637892363618,2.6533440137397974
2024-01-25 03:00:00,2.406624541651244,2.376551793561793,2.7100114005857328,2.717080845783464
2024-01-25 04:00:00,2.511979366350983,2.4638334817586034,2.7820073152420957,2.761936006825454
2024-01-25 05:00:00,2.5666698952344085,2.5039389132593146,2.809683947203702,2.7695128970134437
2024-01-25 06:00:00,2.537173688794057,2.472145745145249,2.7749610391656807,2.731481551967228
2024-01-25 07:00:00,2.5079350222310457,2.4417691728021085,2.742535550206088,2.6970751459844284
2024-01-25 08:00:00,2.4627196982542485,2.3991528759868825,2.7006810386517754,2.658007418660684
2024-01-25 09:00:00,2.4119156950831213,2.352884525157426,2.656964149361287,2.6199726494883944
2024-01-25 10:00:00,2.3547947117291606,2.3016992579344766,2.6097407521032276,2.580845623658448
2024-01-25 11:00:00,2.3003273722593764,2.2535959344350363,2.5679010659080377,2.545100342012745
2024-01-25 12:00:00,2.2470318478572477,2.204599068322077,2.5234919836082876,2.504416861824627
2024-01-25 13:00:00,2.2196761374525655,2.17716577722711,2.496091015875959,2.4752217741014158
2024-01-25 14:00:00,2.1913573944315026,2.1472622709683074,2.4647168706334757,2.4396609959335565
2024-01-25 15:00:00,2.1603510867515165,2.113954761567847,2.4293048103935457,2.3989794442196084
2024-01-25 16:00:00,2.144294378927589,2.093848235946402,2.4051422304580368,2.3673702555331486
2024-01-25 17:00:00,2.081096427048231,2.0314409547081675,2.34380829786764,2.3049199974981627
2024-01-25 18:00:00,1.9461737989248116,1.9054837607418713,2.224639231885167,2.194552858161312
2024-01-25 19:00:00,1.8672105433899617,1.8336345327317027,2.1583527475925774,2.1372781964160197
2024-01-25 20:00:00,1.8615886607417087,1.8329823735575135,2.162224506356458,2.1477154624971275
2024-01-25 21:00:00,1.944839358402151,1.918550985886535,2.2516177103362094,2.2417065270055305
2024-01-25 22:00:00,2.0282125965434568,2.0049996378300117,2.3427747020463556,2.3428647291209965
2024-01-25 23:00:00,2.1103841403847126,2.090660905081612,2.4331003030539393,2.4440966938956983
2024-01-26 00:00:00,2.2007070083232447,2.1829629675070916,2.527781770758462,2.5476004720919256
2024-01-26 01:00:00,2.2506488122707276,2.2345512692855922,2.581124492990279,2.607126996614632
2024-01-26 02:00:00,2.298901316806564,2.281921199328009,2.627505876314136,2.6556668750668035
2024-01-26 03:00:00,2.385189571365122,2.361664067241715,2.7016406237838253,2.7199534806473
2024-01-26 04:00:00,2.4602022926098397,2.423629017677683,2.751920080982331,2.7494050487073767
2024-01-26 05:00:00,2.495842680087961,2.4458856332021024,2.761868811114439,2.7391231731811794
2024-01-26 06:00:00,2.522877598751103,2.460258471794323,2.7648348221482193,2.7242228530787065
2024-01-26 07:00:00,2.5238521922982793,2.4537785724840835,2.7512089426530477,2.700464594501615
2024-01-26 08:00:00,2.5021024592415326,2.429532538102999,2.723666064690907,2.6692194236257656
2024-01-26 09:00:00,2.471418253660149,2.3994007396646486,2.6928255190353,2.638478579587545
2024-01-26 10:00:00,2.392334182295442,2.3291788756471137,2.6283112016159706,2.5850399151862398
2024-01-26 11:00:00,2.3476324348994906,2.2897049692673006,2.5928759732750017,2.5557511557667096
2024-01-26 12:00:00,2.306743461099446,2.2534988929436657,2.5611294784833762,2.528020754590381
2024-01-26 13:00:00,2.2778398002556157,2.2256707867755225,2.5343907969735096,2.5010284129831084
2024-01-26 14:00:00,2.2611738354030293,2.206293137564571,2.512414970739203,2.4738977825067328
2024-01-26 15:00:00,2.1800472544682212,2.1278186291229986,2.4372417652637686,2.398927359554116
2024-01-26 16:00:00,2.1301045962804097,2.0771509227275136,2.3862419984413763,2.344416848324729
2024-01-26 17:00:00,2.0343315999156304,1.985746192957659,2.2989434286591797,2.260353969023508
2024-01-26 18:00:00,1.9324933913805642,1.8913741595316953,2.20985595653994,2.1787755217801217
2024-01-26 19:00:00,1.8636097933940103,1.8286805559912986,2.1520119742085155,2.1289383751804363
